CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
318	1556	-152.330	0.000	0.7523	0.000	0.000
318	509	-34.547	0.000	0.7432	0.000	0.000
318	816	-73.189	0.000	0.7354	0.000	0.000
318	636	-51.661	0.000	0.7348	0.000	0.000
318	544	-41.691	0.000	0.7295	0.000	0.000
318	1726	-166.833	0.000	0.7286	0.000	0.000
318	1654	-161.764	0.000	0.7204	0.000	0.000
318	1003	-95.288	0.000	0.7153	0.000	0.000
331	394	-13.750	0.000	0.7171	0.000	0.000
394	467	-13.774	0.000	0.7085	0.000	0.000
416	544	-21.264	0.000	0.7604	0.000	0.000
416	509	-14.120	0.000	0.7516	0.000	0.000
416	1107	-88.382	0.000	0.7452	0.000	0.000
416	1003	-74.861	0.000	0.7198	0.000	0.000
416	2068	-176.205	0.000	0.7031	0.000	0.000
423	2791	-228.402	0.000	0.7307	0.000	0.000
460	927	-58.396	0.000	0.7833	0.000	0.000
460	1107	-79.546	0.000	0.7600	0.000	0.000
460	2068	-167.369	0.000	0.7544	0.000	0.000
460	1556	-123.067	0.000	0.7316	0.000	0.000
460	1654	-132.501	0.000	0.7274	0.000	0.000
460	585	-15.636	0.000	0.7252	0.000	0.000
460	544	-12.428	0.000	0.7243	0.000	0.000
460	636	-22.398	0.000	0.7128	0.000	0.000
460	1003	-66.025	0.000	0.7039	0.000	0.000
491	1969	-156.429	0.000	0.7128	0.000	0.000
509	636	-17.114	0.000	0.8066	0.000	0.000
509	544	-7.144	0.000	0.7905	0.000	0.000
509	1003	-60.741	0.000	0.7841	0.000	0.000
509	2068	-162.085	0.000	0.7793	0.000	0.000
509	1726	-132.286	0.000	0.7568	0.000	0.000
509	1346	-97.637	0.000	0.7554	0.000	0.000
509	1107	-74.262	0.000	0.7507	0.000	0.000
509	1556	-117.783	0.000	0.7460	0.000	0.000
509	927	-53.112	0.000	0.7186	0.000	0.000
544	636	-9.970	0.000	0.8255	0.000	0.000
544	1003	-53.597	0.000	0.8195	0.000	0.000
544	2068	-154.941	0.000	0.8191	0.000	0.000
544	1107	-67.118	0.000	0.8013	0.000	0.000
544	1346	-90.493	0.000	0.7516	0.000	0.000
544	1726	-125.142	0.000	0.7467	0.000	0.000
544	1198	-76.101	0.000	0.7455	0.000	0.000
544	1556	-110.639	0.000	0.7396	0.000	0.000
544	1255	-81.327	0.000	0.7348	0.000	0.000
544	1654	-120.073	0.000	0.7340	0.000	0.000
629	3445	-244.854	0.000	0.7160	0.000	0.000
636	1003	-43.627	0.000	0.8049	0.000	0.000
636	1107	-57.148	0.000	0.8029	0.000	0.000
636	2068	-144.971	0.000	0.7665	0.000	0.000
636	1654	-110.103	0.000	0.7489	0.000	0.000
636	1726	-115.172	0.000	0.7437	0.000	0.000
636	816	-21.528	0.000	0.7406	0.000	0.000
636	1255	-71.357	0.000	0.7393	0.000	0.000
636	1556	-100.669	0.000	0.7231	0.000	0.000
684	708	-4.138	0.000	0.7274	0.000	0.000
751	891	-15.800	0.000	0.7619	0.000	0.000
751	1034	-32.932	0.000	0.7531	0.000	0.000
816	1346	-58.995	0.000	0.8258	0.000	0.000
816	1198	-44.603	0.000	0.8150	0.000	0.000
